IAU,Instrument,FOS_Name,STIS_Name,COS_Name,HST_Opt,Inst_final,S2N_coadd,z,Hbeta,F1550,FCIVNC,DelVR,FCIVBC,c1_4,c1_2,c3_4,c0_9,CIV,AI,Kurt,_RA,_DE,SDSS Spectra,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,Separation
J12047+2754,FOS,J12047+2754,None,None,,FOS,23,0.1654,5194,0.32,0.61,-475,9.1,-1323,-876,-807,-776,3782,-0.16,0.36,181.175458333333,27.90325,yes,120442.10+275411.8,181.17544701271800,27.903279430584500,6475,56337,302,0.11190434790599300
J12546+1141,FOS,J12546+1141,None,None,,FOS,26,0.8737,3600,1.17,0.0,0,2.6,-1908,-1567,-1465,-1439,4737,-0.13,0.4,193.659401666667,11.6849622222222,yes,125438.25+114105.8,193.659388,11.684966,1695,53473,217,0.05006305052024020
J13570+1919,FOS,J13570+1919,None,None,,FOS,24,0.7197,4960,1.66,2.36,132,13.0,1065,401,46,-107,6697,0.19,0.31,209.2684875,19.3186997222222,yes,135704.43+191907.3,209.268468,19.318719,2756,54508,579,0.09594299204762590
J13590-4152,FOS,J13590-4152,None,None,,FOS,14,0.3145,8978,3.49,0.48,-114,25.7,-183,-1069,-1168,-1268,10536,0.12,0.39,209.750789444444,-41.8813255555556,yes,,,,,,,
J14052+2555,FOS,J14052+2555,None,None,FOS,FOS,29,0.1633,2041,2.89,0.0,0,13.0,-675,-719,-184,-86,4650,-0.15,0.31,211.317588055556,25.9261522222222,yes,,,,,,,
J14190-1310,FOS,J14190-1310,None,None,,FOS,3.4*,0.1294,6617,0.57,0.0,0,21.1,-843,-143,-195,-222,4996,-0.13,0.33,214.765916666667,-13.1790833333333,yes,,,,,,,
J14297+4747,FOS,J14297+4747,None,None,,FOS,35,0.2199,2782,1.07,0.22,213,8.1,626,426,348,298,3278,0.11,0.36,217.429455555556,47.7906047222222,yes,142943.07+474726.2,217.42947126817800,47.79061584717400,8434,57484,311,0.05521068214504440
J14467+4035,FOS+STIS,J14467+4035,None,None,,FOS,39,0.267,3101,2.28,0.1,-982,5.3,-1422,-1143,-906,-764,5881,-0.16,0.45,221.691423888889,40.5849530555556,yes,144645.93+403505.7,221.691416,40.584941,1397,53119,190,0.04846385823319530
J14544-3747,FOS,J14544-3747,None,None,,FOS,10,0.314,4869,0.59,0.68,159,12.8,975,777,608,534,4676,0.1,0.32,223.614207222222,-37.7925402777778,no,,,,,,,
J15147+3650,FOS,J15147+3650,None,None,,FOS,17,0.371,10485,1.56,1.08,218,14.2,-32,-622,-44,-22,7656,0.0,0.28,228.679454166667,36.8473366666667,yes,151443.06+365050.4,228.67945501209200,36.8473384565634,10743,58222,410,0.006888556951650820
J15395+4735,FOS,J15395+4735,None,None,,FOS,42,0.7723,5857,2.42,,0,15.7,-659,-402,-227,-183,6224,-0.09,0.35,234.895083333333,47.592,yes,153934.80+473531.2,234.8950270264760,47.59202629936120,6729,56419,258,0.16628937576940900
J15455+4846,FOS,J15455+4846,None,None,,FOS,69,0.3978,1638,1.46,0.0,0,5.9,-2193,-1587,-1263,-1099,5946,-0.25,0.47,236.375999166667,48.769165,yes,154530.23+484608.9,236.37598671320600,48.76915749531510,8429,57893,896,0.04003803051540100
J16142+2604,FOS,J16142+2604,None,None,,FOS,11,0.1308,2542,0.68,0.32,442,13.1,1173,433,421,452,4787,0.14,0.27,243.554983055556,26.0711666666667,yes,161413.20+260416.2,243.555011,26.071168,1393,52824,35,0.09049122778416550
J16279+5522,COS+FOS,J16279+5522,None,J16279+5522,FOS,FOS,26,0.1326,4888,2.06,0.4,-273,15.8,-749,-299,-389,-447,4529,-0.06,0.29,246.98375,55.3754444444444,yes,,,,,,,
J16303+3756,FOS,J16303+3756,None,None,,FOS,1.2,0.3945,7394,0.04,0.0,0,0.8,2088,941,851,863,8837,0.17,0.4,247.556553333333,37.97269,yes,163013.57+375821.7,247.55656891063100,37.97270845253160,5195,56048,622,0.07979387218789130
J18219+6420,FOS+STIS,J18219+6420,None,None,,FOS,31,0.2972,6968,7.81,,0,82.4,1517,457,-34,-209,5421,0.36,0.33,275.488485555556,64.3433961111111,yes,,,,,,,
J19278+7358,FOS,J19278+7358,None,None,,FOS,44,0.3021,3582,2.11,0.56,146,17.7,28,209,200,178,4365,-0.04,0.33,291.952063333333,73.9671027777778,no,,,,,,,
J21315-1207,COS+FOS,J21315-1207,None,None,,FOS,35,0.4996,6468,2.51,0.53,-203,26.2,808,524,81,4,6185,0.14,0.31,322.896923888889,-12.1179988888889,no,,,,,,,
J21435+1743,FOS,J21435+1743,None,None,,FOS,8,0.2106,5298,1.49,0.0,0,2.6,267,309,350,375,5670,-0.03,0.58,325.898125,17.7302211111111,no,,,,,,,
J22032+3145,FOS,J22032+3145,None,None,,FOS,19,0.2952,3497,4.9,0.0,0,24.6,213,-180,-180,-121,5438,0.05,0.23,330.812398611111,31.7606319444444,no,,,,,,,
J22188-0335,FOS,J22188-0335,None,None,,FOS,17,0.901,3900,0.95,0.15,356,6.1,2413,1198,687,597,6431,0.25,0.24,334.716823888889,-3.5935775,yes,,,,,,,
J22463-1206,FOS,J22463-1206,None,None,,FOS,27,0.6255,4472,1.54,0.5,312,10.6,740,451,330,306,3584,0.11,0.25,341.5759875,-12.1142477777778,yes,,,,,,,
J23037-6807,FOS,J23037-6807,None,None,,FOS,19,0.5158,7625,0.63,,0,12.1,779,142,11,-27,3958,0.15,0.22,345.931363888889,-68.1270719444444,no,,,,,,,
J23112+1008,FOS,J23112+1008,None,None,,FOS,25,0.4341,9373,1.32,,0,12.3,904,-73,-200,-281,5037,0.18,0.23,347.82375,10.1375,no,,,,,,,
J23466+0930,FOS,J23466+0930,None,None,,FOS,24,0.6719,3159,1.76,1.08,108,7.2,-362,-111,-72,-29,4132,-0.08,0.33,356.653493888889,9.51264305555555,yes,,,,,,,
J23519-0109,FOS,J23519-0109,None,None,,FOS,6.8*,0.174,5805,0.38,0.32,-633,11.2,-1739,-1166,-797,-628,7050,-0.2,0.38,357.983833888889,-1.15367972222222,yes,235156.12-010913.3,357.9838486628670,-1.1536949546493300,9208,57688,698,0.07638524451278350
J00057+0203,FOS,LBQS0003+0146,None,None,,FOS,18,0.234,3315,0.55,0.23,-726,4.0,-824,-455,-404,-365,4168,-0.12,0.35,1.44808416666667,2.05065861111111,yes,000547.54+020302.2,1.4481119524454600,2.050637393153030,7852,56987,932,0.12580764930702000
J00204+0226,FOS,LBQS0017+0209,None,None,,FOS,12,0.401,2535,0.44,0.0,0,1.2,-2426,-2144,-2063,-2064,5378,-0.1,0.5,5.10444833333333,2.44041833333333,yes,002025.06+022625.5,5.104450965690490,2.440438855666050,7854,56989,610,0.07448458993878210
J01032+0221,FOS,LBQS0100+0205,None,None,,FOS,14,0.394,6682,0.43,0.0,0,4.7,-60,-427,-356,-297,4598,0.05,0.27,15.8041169444444,2.35279111111111,yes,010312.99+022109.9,15.80413806044240,2.3527595534518500,7858,57281,930,0.13665875912658500
J11350-0318,FOS,LBQS1132-0302,None,None,,FOS,13,0.236,2600,0.36,0.0,0,1.3,-1498,-1408,-1152,-1041,4378,-0.14,0.39,173.770458333333,-3.31430555555556,yes,,,,,,,
J11413+0148,FOS,LBQS1138+0204,None,None,,FOS,13,0.3821,4225,0.54,,0,1.8,-1324,-536,-566,-538,5391,-0.15,0.29,175.3406225,1.80095333333333,yes,114121.75+014803.5,175.340661,1.800995,514,51994,285,0.20418370715527100
J11473-0132,FOS,LBQS1144-0115,None,None,,FOS,6.9*,0.3827,4753,0.08,0.01,371,0.3,35,-40,364,477,5434,-0.1,0.33,176.825250555556,-1.53527888888889,yes,114718.05-013206.9,176.825244,-1.535266,329,52056,458,0.05205305254134520
J12334+0931,FOS,LBQS1230+0947,None,None,,FOS,11,0.4159,4225,1.36,0.0,0,8.6,-161,96,110,119,3349,-0.08,0.29,188.357438888889,9.52315333333333,yes,123325.78+093123.3,188.357449,9.523159,1233,52734,312,0.041289860500386100
J13198-0158,FOS,LBQS1317-0142,None,None,,FOS,18,0.225,2275,0.26,0.0,0,1.6,-1655,-1073,-1037,-1061,3363,-0.2,0.35,199.95975,-1.96777777777778,yes,,,,,,,
J14421+3526,FOS,Mrk0478,None,None,FOS,FOS,44,0.0771,1794,4.34,,0,14.3,-765,-351,-324,-306,2569,-0.2,0.36,220.531074166667,35.4397413888889,yes,,,,,,,
J12217+7518,FOS+STIS,Mrk205,None,None,,FOS,39,0.0711,3783,3.61,1.25,69,18.8,-117,-73,-150,-148,4097,0.01,0.41,185.433195833333,75.3105527777778,yes,,,,,,,
J14274+1949,FOS,Mrk813,None,None,,FOS,13,0.1105,9612,1.77,0.37,442,17.6,41,-217,208,445,7983,-0.06,0.34,216.854166666667,19.8308333333333,yes,,,,,,,
J03198+4130,FOS+STIS,NGC1275,None,None,STIS/NGC1275,BAD,,0.0175,5659,0.29,0.0,0,1.4,-122,-190,-198,-190,2557,0.04,0.48,49.9506669444444,41.5116952777778,yes,,,,,,,
J04200-5456,FOS,NGC1566,None,None,FOS,FOS,49*,0.0051,5967,0.18,0.42,443,1.9,1117,993,910,874,3602,0.09,0.4,65.0017458333333,-54.9378083333333,yes,,,,,,,
J09199+5106,FOS,NGC2841,None,None,,FOS,27,0.5563,6338,1.46,0.0,0,4.3,-2301,-1931,-1632,-1503,5998,-0.18,0.41,139.990008888889,51.1026711111111,yes,091957.60+510609.6,139.9900246527310,51.10267012605510,7290,57073,366,0.035810754593700700
J11390-3744,COS+FOS+STIS,NGC3783,None,None,,FOS,55,0.0095,3757,15.42,17.3,147,140.4,-521,-200,-295,-369,4171,-0.04,0.31,174.757170833333,-37.7385,yes,,,,,,,
J14179+2508,COS+FOS+STIS,NGC5548,None,None,,FOS,195,0.0168,6143,3.0,4.75,408,59.2,63,309,251,182,6441,-0.02,0.39,214.497970833333,25.1367916666667,yes,,,,,,,
J23032+0852,COS+STIS,NGC7469,None,None,,FOS,70,0.016,2789,5.12,5.88,141,59.5,-258,104,108,70,4563,-0.08,0.34,345.815308333333,8.87368888888889,yes,,,,,,,
J22540-1734,COS,None,None,MR2251-178,,COS,91,0.0638,7176,2.5,,0,70.4,-946,-321,-101,-34,4044,-0.25,0.32,343.524566388889,-17.5819722222222,yes,,,,,,,
J00063+2012,COS+FOS+STIS,Mrk335,None,None,,FOS,45,0.0252,1950,7.97,7.33,314,50.7,-221,19,147,195,2927,-0.17,0.37,1.58159166666667,20.2029388888889,yes,,,,,,,
J00059+1609,COS+FOS,PG0003+158,None,None,,FOS,14,0.4504,5519,2.53,1.94,-66,22.5,866,35,-8,-1,5347,0.16,0.29,1.49680666666667,16.1636072222222,no,,,,,,,
J00292+1316,FOS+STIS,PG0026+129,None,None,,FOS,54,0.1451,2405,2.82,1.64,95,8.5,1035,-501,-201,-19,8595,0.14,0.36,7.30709166666667,13.2677458333333,yes,,,,,,,
J00470+0319,FOS,PG0044+030,None,None,,FOS,20,0.6231,5759,1.09,0.22,126,8.2,-418,-750,-568,-591,6274,0.03,0.33,11.774625,3.33194444444444,yes,,,,,,,
J00548+2525,FOS,PG0052+251,None,None,,FOS,17,0.1543,5772,2.11,0.74,-378,27.7,-104,-800,-624,-604,6659,0.08,0.28,13.7172119444444,25.4274838888889,yes,,,,,,,
J09508+3926,FOS,PG0947+396,None,None,,FOS,31,0.2067,5389,1.61,0.5,-284,11.3,73,-606,-655,-671,4532,0.18,0.35,147.701604166667,39.4473733333333,yes,095048.38+392650.4,147.701614,39.447359,1277,52765,332,0.05839372295283710
J09568+4115,COS+FOS+STIS,PG0953+414,None,None,,FOS,26,0.2347,3413,2.39,1.3,-365,15.3,-133,-286,-414,-487,4290,0.09,0.32,149.218298333333,41.2561597222222,no,,,,,,,
J10043+0513,FOS,PG1001+054,None,None,,FOS,11,0.1611,1879,0.6,0.3,-561,4.0,-1815,-930,-851,-828,4320,-0.25,0.35,151.0839225,5.21680388888889,yes,100420.13+051300.4,151.083886,5.2168,995,52731,4,0.13160249749223700
J10040+2855,COS+FOS,PG1001+291,None,None,,FOS,37,0.3298,1853,2.07,0.0,0,7.9,-1934,-1319,-994,-699,3990,-0.33,0.3,151.010903055556,28.9265002777778,yes,100402.60+285535.3,151.01086534361100,28.92648726858360,10449,58137,658,0.12772157489153
